n1-standard-1,1
n1-standard-2,2
n1-standard-4,4
n1-standard-8,8
n1-standard-16,16
n1-standard-32,32
n1-standard-64,64
n1-standard-96,96
n1-highmem-2,2
n1-highmem-4,4
n1-highmem-8,8
n1-highmem-16,16
n1-highmem-32,32
n1-highmem-64,64
n1-highmem-96,96
n1-highcpu-2,2
n1-highcpu-4,4
n1-highcpu-8,8
n1-highcpu-16,16
n1-highcpu-32,32
n1-highcpu-64,64
n1-highcpu-96,96
